billing_account_id,billing_account_name,billing_account_bridge_id,customer_segment,created_date
bill_000094,Billing Account CP,bridge_000094,Small,2025-09-26
bill_000095,Billing Account CQ,bridge_000095,Medium,2024-05-22
bill_000096,Billing Account CR,bridge_000096,Medium,2025-07-27
bill_000097,Billing Account CS,bridge_000097,Small,2026-01-02
bill_000098,Billing Account CT,bridge_000098,Small,2025-11-27
bill_000099,Billing Account CU,bridge_000099,Medium,2025-12-14
bill_000100,Billing Account CV,bridge_000100,Small,2025-11-21
bill_000101,Billing Account CW,bridge_000101,Small,2025-03-24
bill_000102,Billing Account CX,bridge_000102,Small,2025-04-26
bill_000103,Billing Account CY,bridge_000103,Small,2025-01-10
bill_000104,Billing Account CZ,bridge_000104,Small,2025-07-04
bill_000105,Billing Account DA,bridge_000105,Small,2025-04-06
bill_000106,Billing Account DB,bridge_000106,Medium,2025-04-01
bill_000107,Billing Account DC,bridge_000107,Small,2025-08-03
bill_000108,Billing Account DD,bridge_000108,Small,2025-07-20
bill_000109,Billing Account DE,bridge_000109,Small,2024-10-23
bill_000110,Billing Account DF,bridge_000110,Medium,2024-05-21
bill_000111,Billing Account DG,bridge_000111,Small,2025-07-14
bill_000112,Billing Account DH,bridge_000112,Small,2024-11-05
bill_000113,Billing Account DI,bridge_000113,Small,2024-11-15
bill_000114,Billing Account DJ,bridge_000114,Small,2024-04-17
bill_000115,Billing Account DK,bridge_000115,Small,2026-01-19
bill_000116,Billing Account DL,bridge_000116,Small,2025-12-18
bill_000117,Billing Account DM,bridge_000117,Medium,2025-11-25
bill_000118,Billing Account DN,bridge_000118,Small,2025-10-23
bill_000119,Billing Account DO,bridge_000119,Small,2025-09-15
bill_000120,Billing Account DP,bridge_000120,Small,2026-04-01
bill_000121,Billing Account DQ,bridge_000121,Small,2025-04-18
bill_000122,Billing Account DR,bridge_000122,Small,2024-09-15
bill_000123,Billing Account DS,bridge_000123,Medium,2025-10-11
bill_000124,Billing Account DT,bridge_000124,Small,2025-07-09
bill_000125,Billing Account DU,bridge_000125,Small,2024-10-13
bill_000126,Billing Account DV,bridge_000126,Medium,2025-01-27
bill_000127,Billing Account DW,bridge_000127,Small,2026-02-02
bill_000128,Billing Account DX,bridge_000128,Small,2025-08-03
bill_000129,Billing Account DY,bridge_000129,Small,2026-01-31
bill_000130,Billing Account DZ,bridge_000130,Small,2025-01-18
bill_000131,Billing Account EA,bridge_000131,Small,2025-10-24
bill_000132,Billing Account EB,bridge_000132,Medium,2026-01-16
bill_000133,Billing Account EC,bridge_000133,Small,2026-01-04
bill_000134,Billing Account ED,bridge_000134,Small,2025-02-14
bill_000135,Billing Account EE,bridge_000135,Small,2025-08-21
bill_000136,Billing Account EF,bridge_000136,Medium,2025-09-07
bill_000137,Billing Account EG,bridge_000137,Small,2024-04-26
bill_000138,Billing Account EH,bridge_000138,Medium,2025-08-08
bill_000139,Billing Account EI,bridge_000139,Small,2026-01-02
bill_000140,Billing Account EJ,bridge_000140,Small,2026-01-31
bill_000141,Billing Account EK,bridge_000141,Small,2025-12-09
bill_000142,Billing Account EL,bridge_000142,Small,2025-09-03
bill_000143,Billing Account EM,bridge_000143,Medium,2026-01-03
bill_000144,Billing Account EN,bridge_000144,Small,2025-03-09
bill_000145,Billing Account EO,bridge_000145,Small,2026-03-31
bill_000146,Billing Account EP,bridge_000146,Small,2026-01-06
bill_000147,Billing Account EQ,bridge_000147,Unknown,2025-04-29
bill_000148,Billing Account ER,bridge_000148,Small,2025-05-01
bill_000149,Billing Account ES,bridge_000149,Small,2025-07-09
bill_000150,Billing Account ET,bridge_000150,Small,2025-10-02
bill_000151,Billing Account EU,bridge_000151,Small,2026-01-18
bill_000152,Billing Account EV,bridge_000152,Small,2026-04-07
bill_000153,Billing Account EW,bridge_000153,Small,2025-03-31
bill_000154,Billing Account EX,bridge_000154,Small,2025-02-12
bill_000155,Billing Account EY,bridge_000155,Small,2025-01-27
bill_000156,Billing Account EZ,bridge_000156,Small,2025-01-06
bill_000157,Billing Account FA,bridge_000157,Small,2025-09-24
bill_000158,Billing Account FB,bridge_000158,Medium,2025-04-11
bill_000159,Billing Account FC,bridge_000159,Small,2025-03-31
bill_000160,Billing Account FD,bridge_000160,Small,2025-04-25
bill_000161,Billing Account FE,bridge_000161,Small,2025-03-02
bill_000162,Billing Account FF,bridge_000162,Small,2024-12-05
bill_000163,Billing Account FG,bridge_000163,Medium,2026-04-17
bill_000164,Billing Account FH,bridge_000164,Small,2025-01-27
bill_000165,Billing Account FI,bridge_000165,Small,2025-09-09
bill_000166,Billing Account FJ,bridge_000166,Small,2025-06-23
bill_000167,Billing Account FK,bridge_000167,Small,2025-08-18
bill_000168,Billing Account FL,bridge_000168,Small,2026-02-27
bill_000169,Billing Account FM,bridge_000169,Small,2025-02-16
bill_000170,Billing Account FN,bridge_000170,Small,2024-10-30
bill_000171,Billing Account FO,bridge_000171,Large,2025-07-04
bill_000172,Billing Account FP,bridge_000172,Small,2024-09-18
bill_000173,Billing Account FQ,bridge_000173,Large,2024-11-25
bill_000174,Billing Account FR,bridge_000174,Small,2026-04-22
bill_000175,Billing Account FS,bridge_000175,Small,2025-11-08
bill_000176,Billing Account FT,bridge_000176,Small,2024-12-14
bill_000177,Billing Account FU,bridge_000177,Small,2026-02-01
bill_000178,Billing Account FV,bridge_000178,Small,2024-12-30
bill_000179,Billing Account FW,bridge_000179,Unknown,2025-12-05
bill_000180,Billing Account FX,bridge_000180,Small,2025-06-24
bill_000181,Billing Account FY,bridge_000181,Small,2025-12-07
bill_000182,Billing Account FZ,bridge_000182,Small,2025-12-17
bill_000183,Billing Account GA,bridge_000183,Small,2025-09-04
bill_000184,Billing Account GB,bridge_000184,Medium,2025-01-29
bill_000185,Billing Account GC,bridge_000185,Medium,2024-10-27
bill_000186,Billing Account GD,bridge_000186,Small,2025-08-15
bill_000187,Billing Account GE,bridge_000187,Small,2024-06-15
bill_000188,Billing Account GF,bridge_000188,Small,2025-06-23
bill_000189,Billing Account GG,bridge_000189,Small,2025-07-10
bill_000190,Billing Account GH,bridge_000190,Small,2025-06-25
bill_000191,Billing Account GI,bridge_000191,Small,2025-06-26
bill_000192,Billing Account GJ,bridge_000192,Small,2025-07-06
bill_000193,Billing Account GK,bridge_000193,Small,2024-09-26
bill_000194,Billing Account GL,bridge_000194,Medium,2025-08-18
bill_000195,Billing Account GM,bridge_000195,Large,2025-05-13
bill_000196,Billing Account GN,bridge_000196,Small,2025-10-31
bill_000197,Billing Account GO,bridge_000197,Small,2025-08-14
bill_000198,Billing Account GP,bridge_000198,Medium,2025-08-26
bill_000199,Billing Account GQ,bridge_000199,Small,2025-04-02
bill_000200,Billing Account GR,bridge_000200,Medium,2025-04-16
bill_000201,Billing Account GS,bridge_000201,Small,2026-04-10
bill_000202,Billing Account GT,bridge_000202,Small,2026-04-24
bill_000203,Billing Account GU,bridge_000203,Small,2026-02-17
bill_000204,Billing Account GV,bridge_000204,Small,2025-08-22
bill_000205,Billing Account GW,bridge_000205,Small,2025-06-15
bill_000206,Billing Account GX,bridge_000206,Medium,2024-08-03
bill_000207,Billing Account GY,bridge_000207,Small,2025-10-14
bill_000208,Billing Account GZ,bridge_000208,Small,2025-02-03
bill_000209,Billing Account HA,bridge_000209,Small,2024-08-12
bill_000210,Billing Account HB,bridge_000210,Small,2025-08-06
bill_000211,Billing Account HC,bridge_000211,Medium,2026-04-19
bill_000212,Billing Account HD,bridge_000212,Small,2024-09-01
bill_000213,Billing Account HE,bridge_000213,Large,2025-08-17
bill_000214,Billing Account HF,bridge_000214,Medium,2025-07-21
bill_000215,Billing Account HG,bridge_000215,Small,2025-08-31
bill_000216,Billing Account HH,bridge_000216,Small,2025-11-27
bill_000217,Billing Account HI,bridge_000217,Small,2025-01-15
bill_000218,Billing Account HJ,bridge_000218,Small,2025-04-08
bill_000219,Billing Account HK,bridge_000219,Large,2025-10-04
bill_000220,Billing Account HL,bridge_000220,Small,2024-12-23
bill_000221,Billing Account HM,bridge_000221,Small,2024-10-16
bill_000222,Billing Account HN,bridge_000222,Small,2025-08-02
bill_000223,Billing Account HO,bridge_000223,Small,2025-05-16
bill_000224,Billing Account HP,bridge_000224,Small,2025-07-05
bill_000225,Billing Account HQ,bridge_000225,Small,2026-02-09
bill_000226,Billing Account HR,bridge_000226,Small,2025-11-18
bill_000227,Billing Account HS,bridge_000227,Small,2025-05-08
bill_000228,Billing Account HT,bridge_000228,Small,2025-08-09
bill_000229,Billing Account HU,bridge_000229,Medium,2024-10-25
bill_000230,Billing Account HV,bridge_000230,Small,2024-07-08
bill_000231,Billing Account HW,bridge_000231,Small,2025-06-29
bill_000232,Billing Account HX,bridge_000232,Small,2025-10-17
bill_000233,Billing Account HY,bridge_000233,Small,2026-01-18
bill_000234,Billing Account HZ,bridge_000234,Small,2026-01-27
bill_000235,Billing Account IA,bridge_000235,Small,2026-01-26
bill_000236,Billing Account IB,bridge_000236,Medium,2025-12-29
bill_000237,Billing Account IC,bridge_000237,Medium,2025-03-27
bill_000238,Billing Account ID,bridge_000238,Medium,2025-02-27
bill_000239,Billing Account IE,bridge_000239,Small,2025-04-07
bill_000240,Billing Account IF,bridge_000240,Small,2025-05-14
bill_000241,Billing Account IG,bridge_000241,Small,2025-08-12
bill_000242,Billing Account IH,bridge_000242,Medium,2024-09-14
bill_000243,Billing Account II,bridge_000243,Small,2026-02-09
bill_000244,Billing Account IJ,bridge_000244,Medium,2024-12-23
bill_000245,Billing Account IK,bridge_000245,Small,2025-04-15
bill_000246,Billing Account IL,bridge_000246,Small,2025-07-14
bill_000247,Billing Account IM,bridge_000247,Small,2025-06-29
bill_000248,Billing Account IN,bridge_000248,Small,2025-12-02
bill_000249,Billing Account IO,bridge_000249,Small,2024-09-26
bill_000250,Billing Account IP,bridge_000250,Small,2025-03-18
bill_000251,Billing Account IQ,bridge_000251,Small,2026-03-10
bill_000252,Billing Account IR,bridge_000252,Medium,2024-12-24
bill_000253,Billing Account IS,bridge_000253,Small,2025-03-29
bill_000254,Billing Account IT,bridge_000254,Medium,2025-08-04
bill_000255,Billing Account IU,bridge_000255,Small,2025-09-08
bill_000256,Billing Account IV,bridge_000256,Small,2025-05-31
bill_000257,Billing Account IW,bridge_000257,Small,2025-11-14
bill_000258,Billing Account IX,bridge_000258,Small,2025-08-09
bill_000259,Billing Account IY,bridge_000259,Small,2024-11-10
bill_000260,Billing Account IZ,bridge_000260,Small,2024-12-02
bill_000261,Billing Account JA,bridge_000261,Small,2025-09-02
bill_000262,Billing Account JB,bridge_000262,Medium,2025-04-05
bill_000263,Billing Account JC,bridge_000263,Small,2025-12-13
bill_000264,Billing Account JD,bridge_000264,Small,2025-02-08
bill_000265,Billing Account JE,bridge_000265,Small,2025-12-25
bill_000266,Billing Account JF,bridge_000266,Medium,2025-07-26
bill_000267,Billing Account JG,bridge_000267,Small,2026-03-19
bill_000268,Billing Account JH,bridge_000268,Medium,2025-07-17
bill_000269,Billing Account JI,bridge_000269,Medium,2025-11-21
bill_000270,Billing Account JJ,bridge_000270,Small,2025-04-08
bill_000271,Billing Account JK,bridge_000271,Small,2024-05-22
bill_000272,Billing Account JL,bridge_000272,Small,2025-06-14
bill_000273,Billing Account JM,bridge_000273,Medium,2025-03-02
bill_000274,Billing Account JN,bridge_000274,Small,2025-04-10
bill_000275,Billing Account JO,bridge_000275,Small,2024-07-02
bill_000276,Billing Account JP,bridge_000276,Small,2025-12-10
bill_000277,Billing Account JQ,bridge_000277,Small,2026-04-07
bill_000278,Billing Account JR,bridge_000278,Small,2024-12-14
bill_000279,Billing Account JS,bridge_000279,Large,2026-02-07
bill_000280,Billing Account JT,bridge_000280,Small,2025-07-18
bill_000281,Billing Account JU,bridge_000281,Small,2025-02-19
bill_000282,Billing Account JV,bridge_000282,Small,2025-09-13
bill_000283,Billing Account JW,bridge_000283,Medium,2025-11-19
bill_000284,Billing Account JX,bridge_000284,Small,2025-10-09
bill_000285,Billing Account JY,bridge_000285,Small,2025-02-10
bill_000286,Billing Account JZ,bridge_000286,Small,2025-10-24
bill_000287,Billing Account KA,bridge_000287,Small,2024-10-24
bill_000288,Billing Account KB,bridge_000288,Small,2025-03-03
bill_000289,Billing Account KC,bridge_000289,Medium,2024-11-03
bill_000290,Billing Account KD,bridge_000290,Medium,2025-12-11
bill_000291,Billing Account KE,bridge_000291,Small,2025-01-24
bill_000292,Billing Account KF,bridge_000292,Small,2024-07-22
bill_000293,Billing Account KG,bridge_000293,Small,2025-09-09
bill_000294,Billing Account KH,bridge_000294,Small,2025-09-26
bill_000295,Billing Account KI,bridge_000295,Small,2024-12-26
bill_000296,Billing Account KJ,bridge_000296,Small,2025-11-20
bill_000297,Billing Account KK,bridge_000297,Small,2025-05-31
bill_000298,Billing Account KL,bridge_000298,Small,2025-03-15
bill_000299,Billing Account KM,bridge_000299,Small,2024-04-12
bill_000300,Billing Account KN,bridge_000300,Small,2025-09-30
bill_000301,Billing Account KO,bridge_000301,Small,2025-08-31
bill_000302,Billing Account KP,bridge_000302,Small,2025-07-31
bill_000303,Billing Account KQ,bridge_000303,Small,2026-01-10
bill_000304,Billing Account KR,bridge_000304,Small,2024-06-11
bill_000305,Billing Account KS,bridge_000305,Large,2025-04-15
bill_000306,Billing Account KT,bridge_000306,Small,2026-02-26
bill_000307,Billing Account KU,bridge_000307,Small,2025-01-09
bill_000308,Billing Account KV,bridge_000308,Small,2025-08-15
bill_000309,Billing Account KW,bridge_000309,Small,2024-07-20
bill_000310,Billing Account KX,bridge_000310,Small,2025-10-06
bill_000311,Billing Account KY,bridge_000311,Small,2025-07-21
bill_000312,Billing Account KZ,bridge_000312,Small,2025-10-28
bill_000313,Billing Account LA,bridge_000313,Small,2025-09-09
bill_000314,Billing Account LB,bridge_000314,Small,2026-01-26
bill_000315,Billing Account LC,bridge_000315,Small,2026-03-11
bill_000316,Billing Account LD,bridge_000316,Small,2024-06-28
bill_000317,Billing Account LE,bridge_000317,Small,2025-08-11
bill_000318,Billing Account LF,bridge_000318,Small,2026-01-31
bill_000319,Billing Account LG,bridge_000319,Small,2025-05-21
bill_000320,Billing Account LH,bridge_000320,Small,2026-03-29
bill_000321,Billing Account LI,bridge_000321,Medium,2025-05-11
bill_000322,Billing Account LJ,bridge_000322,Small,2025-10-25
bill_000323,Billing Account LK,bridge_000323,Small,2026-03-26
bill_000324,Billing Account LL,bridge_000324,Large,2024-10-11
bill_000325,Billing Account LM,bridge_000325,Small,2025-06-26
bill_000326,Billing Account LN,bridge_000326,Small,2026-03-09
bill_000327,Billing Account LO,bridge_000327,Small,2026-01-23
bill_000328,Billing Account LP,bridge_000328,Small,2025-08-12
bill_000329,Billing Account LQ,bridge_000329,Small,2025-12-21
bill_000330,Billing Account LR,bridge_000330,Medium,2026-01-20
bill_000331,Billing Account LS,bridge_000331,Large,2025-09-21
bill_000332,Billing Account LT,bridge_000332,Large,2025-09-03
bill_000333,Billing Account LU,bridge_000333,Small,2025-05-25
bill_000334,Billing Account LV,bridge_000334,Small,2025-11-04
bill_000335,Billing Account LW,bridge_000335,Small,2026-04-09
bill_000336,Billing Account LX,bridge_000336,Small,2025-03-29
bill_000337,Billing Account LY,bridge_000337,Small,2026-03-05
bill_000338,Billing Account LZ,bridge_000338,Small,2025-08-08
bill_000339,Billing Account MA,bridge_000339,Small,2025-11-19
bill_000340,Billing Account MB,bridge_000340,Small,2026-01-11
bill_000341,Billing Account MC,bridge_000341,Medium,2026-01-07
bill_000342,Billing Account MD,bridge_000342,Medium,2025-06-09
bill_000343,Billing Account ME,bridge_000343,Small,2026-02-26
bill_000344,Billing Account MF,bridge_000344,Small,2025-11-09
bill_000345,Billing Account MG,bridge_000345,Medium,2025-09-05
bill_000346,Billing Account MH,bridge_000346,Small,2025-10-22
bill_000347,Billing Account MI,bridge_000347,Small,2025-06-08
bill_000348,Billing Account MJ,bridge_000348,Small,2025-10-11
bill_000349,Billing Account MK,bridge_000349,Small,2026-02-17
bill_000350,Billing Account ML,bridge_000350,Medium,2025-01-22
bill_000351,Billing Account MM,bridge_000351,Medium,2025-01-28
bill_000352,Billing Account MN,bridge_000352,Small,2026-03-13
bill_000353,Billing Account MO,bridge_000353,Small,2024-12-06
bill_000354,Billing Account MP,bridge_000354,Small,2025-06-07
bill_000355,Billing Account MQ,bridge_000355,Small,2025-07-01
bill_000356,Billing Account MR,bridge_000356,Small,2025-05-09
bill_000357,Billing Account MS,bridge_000357,Small,2026-01-04
bill_000358,Billing Account MT,bridge_000358,Large,2025-11-05
bill_000359,Billing Account MU,bridge_000359,Small,2025-10-13
bill_000360,Billing Account MV,bridge_000360,Small,2025-05-08
bill_000361,Billing Account MW,bridge_000361,Medium,2026-01-13
bill_000362,Billing Account MX,bridge_000362,Small,2024-05-27
bill_000363,Billing Account MY,bridge_000363,Small,2024-09-04
bill_000364,Billing Account MZ,bridge_000364,Small,2025-08-23
bill_000365,Billing Account NA,bridge_000365,Small,2025-06-29
bill_000366,Billing Account NB,bridge_000366,Small,2025-11-25
bill_000367,Billing Account NC,bridge_000367,Small,2025-07-29
bill_000368,Billing Account ND,bridge_000368,Small,2025-02-16
bill_000369,Billing Account NE,bridge_000369,Small,2026-02-27
bill_000370,Billing Account NF,bridge_000370,Small,2025-05-30
bill_000371,Billing Account NG,bridge_000371,Small,2025-04-21
bill_000372,Billing Account NH,bridge_000372,Small,2026-04-18
bill_000373,Billing Account NI,bridge_000373,Medium,2024-09-01
bill_000374,Billing Account NJ,bridge_000374,Medium,2025-05-23
bill_000375,Billing Account NK,bridge_000375,Small,2025-10-11
bill_000376,Billing Account NL,bridge_000376,Large,2025-05-07
bill_000377,Billing Account NM,bridge_000377,Small,2025-01-29
bill_000378,Billing Account NN,bridge_000378,Medium,2025-10-29
bill_000379,Billing Account NO,bridge_000379,Small,2025-03-06
bill_000380,Billing Account NP,bridge_000380,Medium,2026-01-08
bill_000381,Billing Account NQ,bridge_000381,Small,2024-05-16
bill_000382,Billing Account NR,bridge_000382,Small,2025-09-13
bill_000383,Billing Account NS,bridge_000383,Medium,2025-03-14
bill_000384,Billing Account NT,bridge_000384,Medium,2025-09-29
bill_000385,Billing Account NU,bridge_000385,Small,2026-01-12
bill_000386,Billing Account NV,bridge_000386,Small,2025-03-02
bill_000387,Billing Account NW,bridge_000387,Small,2025-08-01
bill_000388,Billing Account NX,bridge_000388,Small,2024-06-24
bill_000389,Billing Account NY,bridge_000389,Small,2024-09-04
bill_000390,Billing Account NZ,bridge_000390,Medium,2025-10-20
bill_000391,Billing Account OA,bridge_000391,Small,2025-06-28
bill_000392,Billing Account OB,bridge_000392,Large,2026-03-09
bill_000393,Billing Account OC,bridge_000393,Small,2025-10-24
bill_000394,Billing Account OD,bridge_000394,Small,2025-03-10
bill_000395,Billing Account OE,bridge_000395,Medium,2025-05-03
bill_000396,Billing Account OF,bridge_000396,Medium,2025-06-04
bill_000397,Billing Account OG,bridge_000397,Small,2025-03-17
bill_000398,Billing Account OH,bridge_000398,Small,2024-10-20
bill_000399,Billing Account OI,bridge_000399,Small,2025-10-11
bill_000400,Billing Account OJ,bridge_000400,Small,2025-11-21
bill_000401,Billing Account OK,bridge_000401,Medium,2026-03-30
bill_000402,Billing Account OL,bridge_000402,Small,2025-08-18
bill_000403,Billing Account OM,bridge_000403,Medium,2026-01-15
bill_000404,Billing Account ON,bridge_000404,Small,2025-05-04
bill_000405,Billing Account OO,bridge_000405,Medium,2025-05-17
bill_000406,Billing Account OP,bridge_000406,Small,2026-03-04
bill_000407,Billing Account OQ,bridge_000407,Small,2025-12-26
bill_000408,Billing Account OR,bridge_000408,Small,2025-11-23
bill_000409,Billing Account OS,bridge_000409,Small,2024-08-07
bill_000410,Billing Account OT,bridge_000410,Small,2025-08-17
bill_000411,Billing Account OU,bridge_000411,Medium,2026-02-09
bill_000412,Billing Account OV,bridge_000412,Small,2025-12-09
bill_000413,Billing Account OW,bridge_000413,Small,2025-11-06
bill_000414,Billing Account OX,bridge_000414,Medium,2026-02-03
bill_000415,Billing Account OY,bridge_000415,Small,2024-11-09
bill_000416,Billing Account OZ,bridge_000416,Medium,2025-06-08
bill_000417,Billing Account PA,bridge_000417,Small,2026-02-05
bill_000418,Billing Account PB,bridge_000418,Medium,2026-02-10
bill_000419,Billing Account PC,bridge_000419,Small,2024-05-02
bill_000420,Billing Account PD,bridge_000420,Medium,2024-05-18
bill_000421,Billing Account PE,bridge_000421,Small,2025-03-18
bill_000422,Billing Account PF,bridge_000422,Small,2025-08-12
bill_000423,Billing Account PG,bridge_000423,Small,2025-03-10
bill_000424,Billing Account PH,bridge_000424,Small,2025-05-07
bill_000425,Billing Account PI,bridge_000425,Medium,2025-02-16
bill_000426,Billing Account PJ,bridge_000426,Small,2025-08-05
bill_000427,Billing Account PK,bridge_000427,Medium,2024-05-17
bill_000428,Billing Account PL,bridge_000428,Small,2025-12-26
bill_000429,Billing Account PM,bridge_000429,Medium,2025-06-24
bill_000430,Billing Account PN,bridge_000430,Small,2025-11-05
bill_000431,Billing Account PO,bridge_000431,Small,2024-07-06
bill_000432,Billing Account PP,bridge_000432,Small,2025-05-07
bill_000433,Billing Account PQ,bridge_000433,Medium,2026-02-24
bill_000434,Billing Account PR,bridge_000434,Small,2025-05-08
bill_000435,Billing Account PS,bridge_000435,Small,2025-12-08
bill_000436,Billing Account PT,bridge_000436,Small,2025-08-10
bill_000437,Billing Account PU,bridge_000437,Small,2024-12-30
bill_000438,Billing Account PV,bridge_000438,Small,2024-12-27
bill_000439,Billing Account PW,bridge_000439,Medium,2025-04-25
bill_000440,Billing Account PX,bridge_000440,Small,2025-02-03
bill_000441,Billing Account PY,bridge_000441,Small,2026-03-19
bill_000442,Billing Account PZ,bridge_000442,Small,2025-09-25
bill_000443,Billing Account QA,bridge_000443,Small,2025-10-01
bill_000444,Billing Account QB,bridge_000444,Small,2025-01-16
bill_000445,Billing Account QC,bridge_000445,Medium,2025-10-22
